1,Acre,AC,12
2,Alagoas,AL,27
3,Amapá,AP,16
4,Amazonas,AM,13
5,Bahia,BA,29
6,Ceará,CE,23
7,Distrito Federal,DF,53
8,Espírito Santo,ES,32
9,Goiás,GO,52
10,Maranhão,MA,21
11,Mato Grosso,MT,51
12,Mato Grosso do Sul,MS,50
13,Minas Gerais,MG,31
14,Pará,PA,15
15,Paraíba,PB,25
16,Paraná,PR,41
17,Pernambuco,PE,26
18,Piauí,PI,22
19,Rio de Janeiro,RJ,33
20,Rio Grande do Norte,RN,24
21,Rio Grande do Sul,RS,43
22,Rondônia,RO,11
23,"Roraima",RR,14
24,Santa Catarina,SC,42
25,"São Paulo",SP,35
26,Sergipe,SE,28
27,Tocantins,TO,17
